Date,Open,High,Low,Close,Volume
13-Apr-11,30.31,31.15,30.28,30.99,686604
12-Apr-11,30.10,30.57,29.65,30.12,738373
11-Apr-11,31.06,31.38,30.25,30.43,558220
8-Apr-11,31.18,31.47,30.65,31.00,845184
7-Apr-11,31.40,31.58,31.00,31.08,341103
6-Apr-11,31.88,31.92,31.01,31.45,420326
5-Apr-11,31.60,31.80,30.95,31.58,483754
4-Apr-11,31.95,31.95,31.00,31.61,858671
1-Apr-11,32.17,32.40,31.88,32.11,685048
31-Mar-11,32.35,32.50,31.75,31.98,668160
30-Mar-11,31.65,32.99,31.46,32.35,1615893
29-Mar-11,31.21,31.83,30.93,31.49,1611188
28-Mar-11,31.75,32.17,30.81,31.17,1122949
25-Mar-11,30.39,31.99,30.20,31.71,3322456
24-Mar-11,28.31,30.30,28.05,29.99,5080547
23-Mar-11,26.54,26.62,26.16,26.60,374801
22-Mar-11,27.16,27.30,26.15,26.66,755094
21-Mar-11,26.51,27.13,26.38,27.09,460508
18-Mar-11,26.12,26.76,26.00,26.20,677328
17-Mar-11,26.62,27.06,25.85,25.89,760348
16-Mar-11,27.01,27.31,26.09,26.37,668514
15-Mar-11,26.79,27.44,26.52,27.04,1002397
14-Mar-11,27.50,28.13,26.90,28.06,1178241
11-Mar-11,27.64,28.31,27.42,28.13,549177
10-Mar-11,28.17,28.49,27.67,27.90,754800
9-Mar-11,27.79,28.63,27.51,28.48,905923
8-Mar-11,27.80,28.02,27.35,27.86,445196
7-Mar-11,28.44,28.44,27.31,27.81,595954
4-Mar-11,28.34,29.10,27.95,28.41,598290
3-Mar-11,28.31,28.68,28.10,28.52,617650
2-Mar-11,27.05,28.17,26.82,28.16,810349
1-Mar-11,26.11,27.10,26.11,27.02,797115
28-Feb-11,26.82,27.00,26.26,26.51,761439
25-Feb-11,27.35,27.71,26.45,26.66,1195854
24-Feb-11,27.92,28.75,26.77,27.01,1981631
23-Feb-11,27.42,27.87,26.65,27.78,1149819
22-Feb-11,28.18,28.35,27.18,27.45,849688
18-Feb-11,28.48,28.48,28.48,28.48,0
17-Feb-11,28.27,28.40,27.98,28.15,230135
16-Feb-11,27.94,28.44,27.85,28.28,312806
15-Feb-11,28.57,28.65,27.79,27.92,328482
14-Feb-11,28.28,28.84,28.27,28.46,437145
10-Feb-11,27.49,28.22,27.34,27.57,899803
9-Feb-11,27.70,28.22,27.27,27.57,648814
8-Feb-11,26.97,27.83,26.74,27.69,560014
7-Feb-11,27.19,27.29,26.92,27.04,425780
4-Feb-11,27.30,27.59,26.94,27.21,454099
3-Feb-11,26.76,27.54,26.69,27.44,683443
2-Feb-11,27.27,27.43,26.66,26.80,820895
1-Feb-11,25.65,27.50,25.65,27.37,1598887
31-Jan-11,25.61,25.75,24.86,25.59,1312096
28-Jan-11,26.07,26.26,25.40,25.57,867856
27-Jan-11,26.21,26.39,26.00,26.08,598307
26-Jan-11,26.36,26.58,26.00,26.25,612451
25-Jan-11,26.55,26.67,26.00,26.26,372069
24-Jan-11,26.48,26.82,25.36,26.65,873517
21-Jan-11,27.02,27.61,26.14,26.36,1423452
20-Jan-11,26.62,26.94,26.01,26.83,938029
19-Jan-11,27.40,27.49,26.67,26.67,877125
18-Jan-11,27.43,27.68,27.16,27.39,608107
14-Jan-11,27.46,27.46,27.46,27.46,0
13-Jan-11,28.02,28.49,27.70,27.93,1006158
12-Jan-11,27.10,28.00,27.03,27.92,1763079
11-Jan-11,27.19,27.22,26.56,26.83,1111200
10-Jan-11,27.37,27.53,26.64,27.09,1324675
7-Jan-11,27.89,27.89,27.14,27.21,958461
6-Jan-11,28.44,28.44,27.65,27.86,799096
5-Jan-11,27.50,28.72,27.11,28.12,1738854
4-Jan-11,28.78,29.12,27.45,27.51,1672155
3-Jan-11,28.28,29.10,27.30,28.47,3662705
31-Dec-10,32.28,32.30,27.65,28.07,25384905
30-Dec-10,25.44,26.99,25.31,26.86,699515
29-Dec-10,25.11,25.61,24.81,25.61,541088
28-Dec-10,25.37,25.49,24.82,25.12,696520
27-Dec-10,25.80,25.91,25.06,25.37,487142
23-Dec-10,25.86,25.86,25.86,25.86,0
22-Dec-10,26.49,26.59,25.30,25.79,776394
21-Dec-10,26.78,26.87,26.05,26.31,838750
20-Dec-10,26.80,27.25,26.50,26.72,990718
17-Dec-10,25.60,26.77,25.45,26.67,771726
