Date,Open,High,Low,Close,Volume
13-Apr-11,25.65,25.87,25.56,25.63,38144621
12-Apr-11,25.83,25.85,25.55,25.64,36936975
11-Apr-11,26.19,26.25,25.80,25.98,34286211
8-Apr-11,26.17,26.28,25.96,26.07,39890629
7-Apr-11,26.19,26.26,25.97,26.20,46134637
6-Apr-11,25.98,26.31,25.86,26.15,65589617
5-Apr-11,25.82,26.18,25.74,25.78,73693937
4-Apr-11,25.45,25.66,25.41,25.55,35441052
1-Apr-11,25.53,25.53,25.31,25.48,63114201
31-Mar-11,25.60,25.68,25.34,25.39,63281785
30-Mar-11,25.60,25.72,25.50,25.61,42000178
29-Mar-11,25.34,25.52,25.30,25.49,40772423
28-Mar-11,25.66,25.72,25.38,25.41,48975380
25-Mar-11,25.93,25.95,25.59,25.62,57031023
24-Mar-11,25.60,25.87,25.50,25.81,38696661
23-Mar-11,25.23,25.61,25.18,25.54,44018832
22-Mar-11,25.30,25.46,25.23,25.30,30903641
21-Mar-11,25.18,25.58,25.15,25.33,46895059
18-Mar-11,25.06,25.18,24.80,24.80,85486688
17-Mar-11,25.06,25.22,24.75,24.78,62506557
16-Mar-11,25.22,25.28,24.68,24.79,100718988
15-Mar-11,25.08,25.47,25.00,25.39,76047451
14-Mar-11,25.49,25.76,25.35,25.69,54456558
11-Mar-11,25.41,25.85,25.36,25.68,49906849
10-Mar-11,25.62,25.71,25.35,25.41,66557502
9-Mar-11,25.81,25.98,25.66,25.89,39792379
8-Mar-11,25.77,26.02,25.65,25.91,50555383
7-Mar-11,26.13,26.27,25.55,25.72,64987131
4-Mar-11,26.22,26.24,25.80,25.95,70437154
3-Mar-11,26.26,26.40,26.18,26.20,68271500
2-Mar-11,26.11,26.37,26.04,26.08,48658193
1-Mar-11,26.60,26.78,26.15,26.16,60054986
28-Feb-11,26.69,26.86,26.51,26.58,51379675
25-Feb-11,26.91,26.95,26.50,26.55,53006263
24-Feb-11,26.64,27.06,26.50,26.77,64499005
23-Feb-11,26.53,26.86,26.43,26.59,60234083
22-Feb-11,26.78,27.10,26.52,26.59,60888998
18-Feb-11,27.06,27.06,27.06,27.06,0
17-Feb-11,26.97,27.37,26.91,27.21,57211558
16-Feb-11,27.05,27.07,26.60,27.02,70817867
15-Feb-11,27.04,27.33,26.95,26.96,44120592
14-Feb-11,27.20,27.27,26.95,27.23,56766112
11-Feb-11,27.76,27.81,27.07,27.25,83939643
10-Feb-11,27.93,27.94,27.29,27.50,76672349
9-Feb-11,28.19,28.26,27.91,27.97,52905018
8-Feb-11,28.10,28.34,28.05,28.28,34910467
7-Feb-11,27.80,28.34,27.79,28.20,68980871
4-Feb-11,27.70,27.84,27.51,27.77,40416627
3-Feb-11,27.96,27.97,27.54,27.65,60340059
2-Feb-11,27.93,28.11,27.88,27.94,45836488
1-Feb-11,27.80,28.06,27.61,27.99,62810661
31-Jan-11,27.77,27.90,27.42,27.72,65028938
28-Jan-11,28.90,28.93,27.45,27.75,141259158
27-Jan-11,28.75,29.46,28.49,28.87,146938589
26-Jan-11,28.51,28.99,28.50,28.78,74628760
25-Jan-11,28.14,28.45,28.12,28.45,42436532
24-Jan-11,28.02,28.56,27.99,28.38,52055812
21-Jan-11,28.40,28.43,28.02,28.02,58080269
20-Jan-11,28.50,28.55,28.13,28.35,58621931
19-Jan-11,28.46,28.68,28.27,28.47,50005830
18-Jan-11,28.16,28.74,28.14,28.66,53332616
14-Jan-11,28.30,28.30,28.30,28.30,0
13-Jan-11,28.33,28.39,28.01,28.19,67082768
12-Jan-11,28.12,28.59,28.07,28.55,52636699
11-Jan-11,28.20,28.25,28.05,28.11,50308414
10-Jan-11,28.26,28.40,28.04,28.22,57573450
7-Jan-11,28.64,28.74,28.25,28.60,73761979
6-Jan-11,28.04,28.85,27.86,28.82,88026271
5-Jan-11,27.90,28.01,27.77,28.00,58998239
4-Jan-11,27.94,28.17,27.85,28.09,54409555
3-Jan-11,28.05,28.18,27.92,27.98,53450110
31-Dec-10,27.80,27.92,27.63,27.91,24791329
30-Dec-10,27.92,28.00,27.78,27.85,20790442
29-Dec-10,27.94,28.12,27.88,27.97,19505935
28-Dec-10,27.97,28.17,27.96,28.01,23049217
27-Dec-10,28.12,28.20,27.88,28.07,21654880
23-Dec-10,28.30,28.30,28.30,28.30,0
22-Dec-10,28.01,28.40,27.98,28.19,42255763
21-Dec-10,27.85,28.14,27.76,28.07,38152996
20-Dec-10,27.95,27.99,27.68,27.81,52810910
17-Dec-10,27.92,28.09,27.75,27.90,87456444
16-Dec-10,27.76,27.99,27.66,27.99,57680104
15-Dec-10,27.53,27.99,27.53,27.85,69634200
14-Dec-10,27.31,27.75,27.26,27.62,64095005
13-Dec-10,27.27,27.45,27.17,27.24,47943855
10-Dec-10,27.19,27.40,27.11,27.34,37629009
9-Dec-10,27.28,27.34,27.01,27.08,47148284
8-Dec-10,26.83,27.24,26.80,27.23,41666716
7-Dec-10,27.08,27.13,26.85,26.87,57860447
6-Dec-10,26.93,26.98,26.76,26.84,36273877
3-Dec-10,26.81,27.06,26.78,27.02,52621910
2-Dec-10,26.24,26.98,26.20,26.89,91798687
1-Dec-10,25.57,26.25,25.56,26.04,74123490
30-Nov-10,25.05,25.47,25.00,25.26,75282094
29-Nov-10,25.19,25.42,24.93,25.31,56608148
26-Nov-10,25.21,25.41,25.17,25.25,21356527
24-Nov-10,25.37,25.37,25.37,25.37,0
23-Nov-10,25.57,25.60,25.09,25.12,69806770
22-Nov-10,25.65,25.74,25.44,25.73,53350441
19-Nov-10,25.80,25.83,25.60,25.69,52423174
18-Nov-10,25.71,26.08,25.61,25.84,59518954
17-Nov-10,25.90,25.91,25.55,25.57,58299609
16-Nov-10,26.04,26.04,25.65,25.81,65339110
