Date,Open,High,Low,Close,Volume
13-Apr-11,76.97,77.46,76.50,76.89,4867200
12-Apr-11,75.83,76.96,75.83,76.66,4771973
11-Apr-11,76.16,76.50,76.00,76.25,3943675
8-Apr-11,76.25,76.38,75.78,76.04,3694700
7-Apr-11,76.34,76.74,75.66,76.01,5419500
6-Apr-11,76.78,76.91,76.46,76.72,5659227
5-Apr-11,76.26,76.74,75.97,76.60,4277723
4-Apr-11,76.31,76.50,76.14,76.39,3286652
1-Apr-11,76.30,76.50,75.87,75.99,3895712
31-Mar-11,75.84,76.45,75.76,76.09,4508263
30-Mar-11,75.50,76.04,75.46,75.81,3481812
29-Mar-11,74.87,75.45,74.87,75.37,3010121
28-Mar-11,75.55,75.63,75.00,75.00,3081829
25-Mar-11,75.00,75.75,74.76,75.25,4654159
24-Mar-11,74.60,75.00,74.49,74.93,4309880
23-Mar-11,73.75,74.65,73.67,74.53,5058531
22-Mar-11,74.00,74.30,73.53,73.87,4500251
21-Mar-11,73.50,74.23,73.38,73.76,5354620
18-Mar-11,73.48,73.79,72.89,72.99,9190897
17-Mar-11,74.13,74.19,73.12,73.40,6134074
16-Mar-11,74.74,74.75,73.17,73.38,10591829
15-Mar-11,74.50,75.67,74.34,75.12,6956239
14-Mar-11,76.10,76.41,75.46,75.67,7980241
11-Mar-11,76.36,77.04,76.00,76.73,4441262
10-Mar-11,75.64,77.25,75.29,76.68,8163314
9-Mar-11,75.68,76.00,75.20,75.78,5339165
8-Mar-11,75.73,76.05,74.97,75.54,8955945
7-Mar-11,76.38,77.24,75.94,76.29,7955378
4-Mar-11,76.11,76.60,75.56,76.03,5418160
3-Mar-11,75.26,76.63,75.17,76.24,7394017
2-Mar-11,74.66,74.80,73.64,74.69,7837607
1-Mar-11,75.71,75.91,74.71,74.89,9068232
28-Feb-11,74.51,75.87,74.51,75.68,11329771
25-Feb-11,74.90,75.34,74.42,74.44,6506499
24-Feb-11,74.98,75.33,74.55,75.21,7305473
23-Feb-11,75.97,76.45,74.59,75.19,7034435
22-Feb-11,75.95,76.44,75.52,75.70,7034806
18-Feb-11,76.13,76.13,76.13,76.13,0
17-Feb-11,75.91,76.13,75.70,75.98,4338411
16-Feb-11,76.28,76.34,75.76,76.02,4059145
15-Feb-11,75.87,76.34,75.80,76.15,3823152
14-Feb-11,76.07,76.45,75.83,76.24,4513432
11-Feb-11,75.80,76.23,75.51,76.14,4598430
10-Feb-11,75.98,76.32,75.53,75.76,5437360
9-Feb-11,75.50,75.99,75.18,75.93,5847167
8-Feb-11,74.37,75.97,74.20,75.36,11860373
7-Feb-11,74.13,74.35,73.30,73.45,11620486
4-Feb-11,73.73,74.50,73.64,74.05,9704709
3-Feb-11,73.84,74.27,73.81,73.83,11126660
2-Feb-11,73.49,73.76,73.08,73.64,5842531
1-Feb-11,74.22,74.26,73.20,73.47,8473300
31-Jan-11,73.80,73.98,73.35,73.67,6372349
28-Jan-11,74.37,74.73,73.05,73.28,9084729
27-Jan-11,75.43,75.45,74.34,74.35,7619897
26-Jan-11,75.59,75.71,75.15,75.17,6669956
25-Jan-11,75.54,75.68,75.00,75.48,6964829
24-Jan-11,74.25,75.85,74.15,75.38,16395496
21-Jan-11,75.75,75.75,74.64,75.01,9828827
20-Jan-11,75.39,75.74,74.68,75.16,8294836
19-Jan-11,75.10,75.44,74.75,75.35,10703043
18-Jan-11,74.65,75.36,74.31,74.68,11229791
14-Jan-11,74.06,74.06,74.06,74.06,0
13-Jan-11,73.44,73.55,72.46,72.67,14512583
12-Jan-11,74.37,74.37,73.46,73.60,10379264
11-Jan-11,73.84,74.49,73.57,73.90,8660900
10-Jan-11,74.25,74.46,73.52,73.56,11343103
7-Jan-11,74.35,74.58,73.59,74.37,11273141
6-Jan-11,74.90,74.94,74.08,74.21,11717822
5-Jan-11,74.68,74.90,74.31,74.66,17907936
4-Jan-11,75.74,75.91,74.11,74.31,36480372
3-Jan-11,77.10,77.59,76.60,76.60,8021406
31-Dec-10,76.71,76.86,76.34,76.76,2485028
