Date,Open,High,Low,Close,Volume
13-Apr-11,33.57,33.97,33.49,33.70,24345558
12-Apr-11,33.57,33.63,33.08,33.40,16948611
11-Apr-11,33.54,33.85,33.54,33.78,15960356
8-Apr-11,33.88,33.93,33.31,33.54,16136588
7-Apr-11,33.60,34.07,33.30,33.72,22723604
6-Apr-11,34.20,34.20,33.49,33.58,24782239
5-Apr-11,34.29,34.40,33.91,33.92,30286173
4-Apr-11,34.09,34.43,34.01,34.14,26743013
1-Apr-11,33.70,34.10,33.61,34.02,43176882
31-Mar-11,33.00,33.63,32.95,33.43,38234271
30-Mar-11,33.27,33.43,33.00,33.05,25718235
29-Mar-11,32.40,33.16,32.36,33.16,29950329
28-Mar-11,32.83,32.89,32.40,32.56,31399511
25-Mar-11,33.74,34.10,32.58,32.64,64967633
24-Mar-11,31.78,32.33,31.50,32.14,38277538
23-Mar-11,31.22,31.71,30.83,31.41,23159769
22-Mar-11,31.39,31.54,31.06,31.12,20051941
21-Mar-11,31.45,31.85,31.30,31.42,23199418
18-Mar-11,30.98,31.19,30.61,30.76,34862169
17-Mar-11,30.69,31.05,30.34,30.55,31529597
16-Mar-11,30.92,31.06,29.62,30.20,45026258
15-Mar-11,30.24,31.30,29.82,31.17,34884597
14-Mar-11,31.52,31.86,31.27,31.59,18656522
11-Mar-11,31.73,32.40,31.34,31.91,23705909
10-Mar-11,32.37,32.46,31.51,31.80,29054231
9-Mar-11,32.63,33.14,32.42,32.79,17217849
8-Mar-11,32.34,33.01,32.19,32.74,21891848
7-Mar-11,32.97,33.06,31.89,32.10,20474357
4-Mar-11,32.99,33.10,32.22,32.76,19148979
3-Mar-11,32.47,33.19,32.43,33.03,24169857
2-Mar-11,31.58,32.36,31.55,32.12,23091502
1-Mar-11,33.02,33.08,31.61,31.66,30423280
28-Feb-11,33.06,33.23,32.68,32.90,19406701
25-Feb-11,32.29,33.08,32.27,32.95,20850410
24-Feb-11,32.10,32.41,31.64,32.25,23416224
23-Feb-11,32.55,32.66,32.02,32.18,22154129
22-Feb-11,33.29,33.66,32.52,32.53,24887871
18-Feb-11,33.68,33.68,33.68,33.68,0
17-Feb-11,32.97,33.20,32.76,33.01,14568960
16-Feb-11,32.85,33.14,32.61,33.11,15829042
15-Feb-11,33.12,33.15,32.61,32.76,19332153
14-Feb-11,33.29,33.54,33.24,33.29,16438097
